0	15	9.807	10.13	1.225
1000	8.5	9.804	8.988	1.112
2000	2	9.801	7.95	1.007
3000	-4.49	9.797	7.012	0.9093
4000	-10.98	9.794	6.166	0.8194
5000	-17.47	9.791	5.405	0.7364
6000	-23.96	9.788	4.722	0.6601
7000	-30.45	9.785	4.111	0.59
8000	-36.94	9.782	3.565	0.5258
9000	-43.42	9.779	3.08	0.4671
10000	-49.9	9.776	2.65	0.4135
15000	-56.5	9.761	1.211	0.1948
20000	-56.5	9.745	0.5529	0.08891
25000	-51.6	9.73	0.2549	0.04008
30000	-46.64	9.715	0.1197	0.01841
40000	-22.8	9.684	0.0287	0.003996
50000	-2.5	9.654	0.007978	0.001027
60000	-26.13	9.624	0.002196	0.0003097
70000	-53.57	9.594	0.00052	0.00008283
80000	-74.51	9.564	0.00011	0.00001846
